Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2017-02-09
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2017-09-05;0;16,6;
2017-09-06;0;null;
2017-09-07;null;null;
2017-09-08;null;16,6;
2017-09-09;0;17;
2017-09-10;0;19,2;
2017-09-11;2,4;18,3;
2017-09-12;0;16,5;
2017-09-13;0;17,6;
2017-09-14;0;19,7;
2017-09-15;0;17,9;
2017-09-16;0;18,2;
2017-09-17;0;18,6;
2017-09-18;0;19,2;
2017-09-19;0;18,7;
2017-09-20;0;18,4;
2017-09-21;0;18;
2017-09-22;0;17,9;
2017-09-23;0;18,7;
2017-09-24;0;19,3;
2017-09-25;0;18,4;
2017-09-26;0;18;
2017-09-27;0;20;
2017-09-28;0;19,9;
2017-09-29;10,8;20,4;
2017-09-30;0;19,8;
2017-10-01;15,2;20,1;
2017-10-02;0;21,6;
2017-10-03;0;22,5;
2017-10-04;2,6;17,3;
2017-10-05;,6;18,3;
2017-10-06;,2;19,6;
2017-10-07;0;20,9;
2017-10-08;,4;20,2;
2017-10-09;0;20,8;
2017-10-10;0;19,8;
2017-10-11;0;20;
2017-10-12;0;21,4;
2017-10-13;0;21,6;
2017-10-14;0;20,8;
2017-10-15;0;19,4;
2017-10-16;1,8;17,7;
2017-10-17;10;18,3;
2017-10-18;17,8;18,6;
2017-10-19;0;20,3;
2017-10-20;0;21,6;
2017-10-21;0;23;
2017-10-22;0;24;
2017-10-23;0;21;
2017-10-24;6,8;19,8;
2017-10-25;0;21,2;
2017-10-26;0;21,3;
2017-10-27;0;21;
2017-10-28;1;22,9;
2017-10-29;,2;23,1;
2017-10-30;,2;21,9;
2017-10-31;0;23,5;
2017-11-01;5,4;18,1;
2017-11-02;3;16,8;
2017-11-03;0;20;
2017-11-04;0;21,7;
2017-11-05;0;22,8;
2017-11-06;12,4;18,4;
2017-11-07;3,8;15,9;
2017-11-08;3;16,6;
2017-11-09;8;17,6;
2017-11-10;7,6;20,1;
2017-11-11;0;21,1;
2017-11-12;5,2;19,1;
2017-11-13;3,6;21,3;
2017-11-14;,2;19,4;
2017-11-15;0;21,4;
2017-11-16;0;22,8;
2017-11-17;0;24,1;
2017-11-18;0;22,5;
2017-11-19;0;22,6;
2017-11-20;5,4;22,7;
2017-11-21;32,6;21,4;
2017-11-22;0;22,2;
2017-11-23;11,6;17,7;
2017-11-24;20,4;18,6;
2017-11-25;,2;21,5;
2017-11-26;0;20,4;
2017-11-27;0;22,6;
2017-11-28;0;21,3;
2017-11-29;99,8;19,7;
2017-11-30;0;19,8;
2017-12-01;47,8;18,7;
2017-12-02;65,6;19,7;
2017-12-03;8,8;20,7;
2017-12-04;21;22,3;
2017-12-05;,6;21,8;
2017-12-06;20,8;19,1;
2017-12-07;1,2;19,5;
2017-12-08;,2;21,3;
2017-12-09;21;21,6;
2017-12-10;0;21,7;
2017-12-11;25,6;21,6;
2017-12-12;1,2;19,8;
2017-12-13;,2;18,1;
2017-12-14;1,8;18,5;
2017-12-15;4;21,5;
2017-12-16;,4;22,2;
2017-12-17;,2;22,2;
2017-12-18;0;22;
2017-12-19;0;22,8;
2017-12-20;,2;22,8;
2017-12-21;0;21,2;
2017-12-22;,6;22,6;
2017-12-23;0;23,5;
2017-12-24;0;23,7;
2017-12-25;0;24,2;
2017-12-26;0;24,3;
2017-12-27;10,8;24,2;
2017-12-28;8,4;23,6;
2017-12-29;,2;23,2;
2017-12-30;null;null;
2017-12-31;,2;23,9;
2018-01-01;4,8;23;
2018-01-02;24,6;24,2;
2018-01-03;0;24,8;
2018-01-04;13,4;21,7;
2018-01-05;,4;22,7;
2018-01-06;0;23,3;
2018-01-07;0;23,1;
2018-01-08;0;23,2;
2018-01-09;0;21,4;
2018-01-10;2,4;20,9;
2018-01-11;1;20,4;
2018-01-12;0;22,4;
2018-01-13;0;22,6;
2018-01-14;0;23,3;
2018-01-15;0;23,7;
2018-01-16;0;23,3;
2018-01-17;,2;23,3;
2018-01-18;,2;22,4;
2018-01-19;0;23,1;
2018-01-20;0;22,4;
2018-01-21;4,8;22;
2018-01-22;3,2;22,8;
2018-01-23;0;23,5;
2018-01-24;0;23,2;
2018-01-25;0;22,7;
2018-01-26;0;22,4;
2018-01-27;0;22,9;
2018-01-28;0;23,3;
2018-01-29;35;23,5;
2018-01-30;5,8;22,1;
2018-01-31;42,8;20,5;
2018-02-01;23,8;19,2;
2018-02-02;7,2;19,9;
2018-02-03;2,8;21;
2018-02-04;5,2;19,4;
2018-02-05;62,8;19,7;
2018-02-06;33,2;21,4;
2018-02-07;22,4;22,4;
2018-02-08;1,6;22;
2018-02-09;1,2;22;
2018-02-10;33,2;22,4;
2018-02-11;0;22;
2018-02-12;,2;21,6;
2018-02-13;,2;22,9;
2018-02-14;0;23;
2018-02-15;5,8;21,4;
2018-02-16;27;20,9;
2018-02-17;21;21,4;
2018-02-18;5,2;22,3;
2018-02-19;0;22,3;
2018-02-20;1,4;22,3;
2018-02-21;,4;23,3;
2018-02-22;5,2;22,9;
2018-02-23;8,6;22,5;
2018-02-24;3,6;21;
2018-02-25;0;20,4;
2018-02-26;0;21,6;
2018-02-27;1,8;22,5;
2018-02-28;0;22,6;
2018-03-01;8,4;22,5;
2018-03-02;0;23,6;
2018-03-03;0;23,5;
2018-03-04;4,8;23,4;
2018-03-05;76,8;23,1;
2018-03-06;31,6;23,9;
2018-03-07;1,8;23,7;
2018-03-08;20,4;23,6;
2018-03-09;30;22;
2018-03-10;2;22,5;
2018-03-11;20,2;22,3;
2018-03-12;16,8;24;
2018-03-13;0;24,2;
2018-03-14;1,4;23,5;
2018-03-15;,4;23,1;
2018-03-16;0;23,8;
2018-03-17;0;22;
2018-03-18;3,4;22,5;
2018-03-19;,2;22;
2018-03-20;,2;22,3;
2018-03-21;0;22,2;
2018-03-22;28,6;21,4;
2018-03-23;18,4;21,6;
2018-03-24;2,6;20,5;
2018-03-25;0;21,2;
2018-03-26;0;20,9;
2018-03-27;18,8;19,8;
2018-03-28;5,6;20,9;
2018-03-29;,2;19,1;
2018-03-30;11;20,9;
2018-03-31;24,8;20,8;
2018-04-01;,2;20,7;
2018-04-02;,2;21,1;
2018-04-03;0;21,9;
2018-04-04;7,4;21,9;
2018-04-05;81;21,6;
2018-04-06;,4;21,1;
2018-04-07;16,8;20,4;
2018-04-08;14;19,1;
2018-04-09;15,6;20,6;
2018-04-10;,6;18,9;
2018-04-11;,2;17,3;
2018-04-12;4,4;18,9;
2018-04-13;2,2;21,4;
2018-04-14;7;21,1;
2018-04-15;5,6;20,9;
2018-04-16;14,4;18,7;
2018-04-17;6,2;17,3;
2018-04-18;3,2;17,2;
2018-04-19;,2;17,7;
2018-04-20;3;19;
2018-04-21;0;18,3;
2018-04-22;,2;18,3;
2018-04-23;5,6;18,8;
2018-04-24;1;19,6;
2018-04-25;9,4;19,7;
2018-04-26;,2;20,7;
2018-04-27;7,6;20,2;
2018-04-28;,4;17,7;
2018-04-29;2,2;18,2;
2018-04-30;,4;18,5;
2018-05-01;,2;18,2;
2018-05-02;0;17,6;
2018-05-03;0;19,8;
2018-05-04;0;20,9;
2018-05-05;0;20,5;
2018-05-06;0;20,7;
2018-05-07;0;19,1;
2018-05-08;0;18,9;
2018-05-09;23,4;17,5;
2018-05-10;10;16,9;
2018-05-11;,2;18;
2018-05-12;,2;18,7;
2018-05-13;,2;18,5;
2018-05-14;0;18,6;
2018-05-15;5,8;18,9;
2018-05-16;2,4;20,2;
2018-05-17;0;18,8;
2018-05-18;,2;20,1;
2018-05-19;,2;20,3;
2018-05-20;1,2;19,3;
2018-05-21;,2;16;
2018-05-22;,2;16,1;
2018-05-23;,2;16,6;
2018-05-24;0;17,5;
2018-05-25;,6;16,7;
2018-05-26;22;15,6;
2018-05-27;6,8;15,5;
2018-05-28;0;15,7;
2018-05-29;,4;16,2;
2018-05-30;,4;15,6;
2018-05-31;,8;17,1;
2018-06-01;0;18,2;
2018-06-02;,2;18,4;
2018-06-03;,2;18,1;
2018-06-04;2;16,6;
2018-06-05;1,8;16,9;
2018-06-06;,2;18,4;
2018-06-07;0;17,9;
2018-06-08;0;19,8;
2018-06-09;2,4;17,2;
2018-06-10;,2;18,4;
2018-06-11;,2;17;
2018-06-12;,2;17,4;
2018-06-13;,2;18,4;
2018-06-14;,2;18,9;
2018-06-15;8,6;17,8;
2018-06-16;0;18,7;
2018-06-17;2;18,2;
2018-06-18;,4;17,4;
2018-06-19;5,2;16;
2018-06-20;0;15,3;
2018-06-21;,2;null;
2018-06-22;null;16,7;
2018-06-23;,2;16,2;
2018-06-24;0;17,9;
2018-06-25;,2;null;
2018-06-26;,2;17,4;
2018-06-27;0;17,6;
2018-06-28;,2;15,9;
2018-06-29;0;16,8;
2018-06-30;,8;18;
2018-07-01;,6;16,6;
2018-07-02;0;16,9;
2018-07-03;,2;17,3;
2018-07-04;0;17,4;
2018-07-05;,2;17,8;
2018-07-06;0;16,4;
2018-07-07;0;15,4;
2018-07-08;0;16,2;
2018-07-09;0;17,6;
2018-07-10;0;18,2;
2018-07-11;,6;15,4;
2018-07-12;3,8;14,1;
2018-07-13;0;16,3;
2018-07-14;0;15,6;
2018-07-15;0;16;
2018-07-16;,2;16,3;
2018-07-17;0;17,8;
2018-07-18;0;17,3;
2018-07-19;0;16,4;
2018-07-20;0;15,9;
2018-07-21;,2;16;
2018-07-22;0;15,6;
2018-07-23;0;16,3;
2018-07-24;,2;16;
2018-07-25;0;14;
2018-07-26;1,6;16,4;
2018-07-27;,2;15,8;
2018-07-28;0;15,9;
2018-07-29;0;15,4;
2018-07-30;0;16,8;
2018-07-31;0;16,9;
2018-08-01;,6;16,3;
2018-08-02;11,2;16,6;
2018-08-03;2,4;17,6;
2018-08-04;3;17,9;
2018-08-05;2,8;18,3;
2018-08-06;,4;19,5;
2018-08-07;11,6;16,6;
2018-08-08;2,2;18,3;
2018-08-09;0;18,5;
2018-08-10;0;21;
2018-08-11;0;17,5;
2018-08-12;0;16,1;
2018-08-13;0;17;
2018-08-14;0;16,3;
2018-08-15;0;16,5;
2018-08-16;0;17,7;
2018-08-17;0;16,2;
2018-08-18;1,2;16,1;
2018-08-19;0;17,1;
2018-08-20;,4;17,5;
2018-08-21;3;17,7;
2018-08-22;,2;17,7;
2018-08-23;0;17,3;
2018-08-24;0;19;
2018-08-25;0;20,1;
2018-08-26;0;18,5;
2018-08-27;0;15,4;
2018-08-28;9;15,7;
2018-08-29;6,6;16,5;
2018-08-30;0;17,4;
2018-08-31;,2;17,1;
2018-09-01;0;18,1;
2018-09-02;0;18,7;
2018-09-03;,2;19,1;
2018-09-04;0;19,6;
2018-09-05;6,2;15,4;
2018-09-06;,4;15,4;
2018-09-07;,8;16,1;
2018-09-08;0;17;
2018-09-09;0;17,5;
2018-09-10;0;16,6;
2018-09-11;0;18,2;
2018-09-12;1;15,3;
2018-09-13;1,4;16,6;
2018-09-14;,2;17,6;
2018-09-15;,8;18,1;
2018-09-16;,6;19,7;
2018-09-17;2;18,8;
2018-09-18;2,4;20,1;
2018-09-19;3,2;21,4;
2018-09-20;0;20,8;
2018-09-21;10,6;19,6;
2018-09-22;,6;20,2;
2018-09-23;0;20,5;
2018-09-24;0;20,6;
2018-09-25;0;20,5;
2018-09-26;0;21,2;
2018-09-27;0;21,3;
2018-09-28;0;21,4;
2018-09-29;,4;19,8;
2018-09-30;,6;21,5;
2018-10-01;0;21,5;
2018-10-02;0;22,4;
2018-10-03;0;21,8;
2018-10-04;0;22,3;
2018-10-05;1;20,1;
2018-10-06;6,8;16,4;
2018-10-07;,2;19;
2018-10-08;,2;20,8;
2018-10-09;0;21,2;
2018-10-10;0;23;
2018-10-11;0;22,6;
2018-10-12;0;22,3;
2018-10-13;0;22,8;
2018-10-14;0;22,7;
2018-10-15;2;20;
2018-10-16;0;18,7;
2018-10-17;,2;21,6;
2018-10-18;3,6;22,6;
2018-10-19;1;22,4;
2018-10-20;19,4;18,6;
2018-10-21;0;16,2;
2018-10-22;,2;18;
2018-10-23;0;20,5;
2018-10-24;0;20,6;
2018-10-25;4;19,4;
2018-10-26;6,2;20,6;
2018-10-27;3,8;22,7;
2018-10-28;9,2;19,4;
2018-10-29;1;16;
2018-10-30;1,6;18,3;
2018-10-31;0;21,8;
2018-11-01;0;22,3;
2018-11-02;3,8;20,6;
2018-11-03;0;22;
2018-11-04;0;22;
2018-11-05;2,4;18;
2018-11-06;10,4;18,1;
2018-11-07;2;20,7;
2018-11-08;,4;18;
2018-11-09;50;17,1;
2018-11-10;14;18,1;
2018-11-11;,2;20;
2018-11-12;3,2;21,6;
2018-11-13;5,2;22,8;
2018-11-14;,2;22,5;
2018-11-15;0;22,2;
2018-11-16;0;21,6;
2018-11-17;5;21,7;
2018-11-18;1,2;22,4;
2018-11-19;0;23,6;
2018-11-20;8,4;18,3;
2018-11-21;12,4;19,1;
2018-11-22;1,8;20;
2018-11-23;,4;21,8;
2018-11-24;0;22,1;
2018-11-25;,2;21,6;
2018-11-26;0;19,7;
2018-11-27;12,2;20;
2018-11-28;1;20,1;
2018-11-29;11,2;21,3;
2018-11-30;,2;21,8;
2018-12-01;29,8;21,3;
2018-12-02;1,6;22,4;
2018-12-03;40;19;
2018-12-04;3,4;20,3;
2018-12-05;5,6;23,3;
2018-12-06;,2;22,4;
2018-12-07;6,2;22,2;
2018-12-08;30,8;17,3;
2018-12-09;3;16,3;
2018-12-10;0;17,7;
2018-12-11;4,2;20,7;
2018-12-12;,8;22,4;
2018-12-13;0;23,1;
2018-12-14;0;22,4;
2018-12-15;0;22,8;
2018-12-16;,2;23,4;
2018-12-17;0;22,6;
2018-12-18;,2;22,8;
2018-12-19;0;24,2;
2018-12-20;0;24,8;
2018-12-21;1,2;23,6;
2018-12-22;0;23,3;
2018-12-23;0;23,4;
2018-12-24;0;22,1;
2018-12-25;5;21,6;
2018-12-26;8,4;21,1;
2018-12-27;58,6;20,4;
2018-12-28;83;20,5;
2018-12-29;13,2;22;
2018-12-30;16,2;22,1;
2018-12-31;2,2;20,9;
2019-01-01;0;22,6;
2019-01-02;,2;22,8;
2019-01-03;0;24,6;
2019-01-04;0;24;
2019-01-05;0;24;
2019-01-06;0;23;
2019-01-07;,2;22,8;
2019-01-08;0;22,7;
2019-01-09;0;22,1;
2019-01-10;0;22,3;
2019-01-11;0;23,1;
2019-01-12;0;22,7;
2019-01-13;,2;21,1;
2019-01-14;8,4;22,5;
2019-01-15;,2;23,6;
2019-01-16;0;23,5;
2019-01-17;0;23,6;
2019-01-18;0;24;
2019-01-19;0;23,5;
2019-01-20;0;23,7;
2019-01-21;0;24;
2019-01-22;0;23,4;
2019-01-23;0;23,6;
2019-01-24;0;23,4;
2019-01-25;0;23,6;
2019-01-26;0;24,5;
2019-01-27;0;23,6;
2019-01-28;12;21,5;
2019-01-29;5,4;22,1;
2019-01-30;,8;22,6;
2019-01-31;2,6;23;
2019-02-01;,2;23,4;
2019-02-02;0;23,5;
2019-02-03;0;24,8;
2019-02-04;0;23,7;
2019-02-05;14;20,8;
2019-02-06;20,6;21,5;
2019-02-07;21,8;21,6;
2019-02-08;6,4;22,5;
2019-02-09;19,4;22,5;
2019-02-10;51,8;22,1;
2019-02-11;0;23,6;
2019-02-12;0;22,6;
2019-02-13;0;21,9;
2019-02-14;5,4;19,8;
2019-02-15;0;21,3;
2019-02-16;0;23,4;
2019-02-17;17,6;23;
2019-02-18;,4;24,2;
2019-02-19;13,4;23,5;
2019-02-20;0;23,9;
2019-02-21;,4;22,2;
2019-02-22;62;23,6;
2019-02-23;0;24,2;
2019-02-24;,6;24,3;
2019-02-25;,2;23,7;
2019-02-26;2,4;24,6;
2019-02-27;12;24,5;
2019-02-28;0;24,9;
2019-03-01;,2;23,8;
2019-03-02;,2;23,1;
2019-03-03;0;23,5;
2019-03-04;0;23,6;
2019-03-05;0;22,2;
2019-03-06;,2;22,5;
2019-03-07;11;21,7;
2019-03-08;0;22,6;
2019-03-09;,2;24;
2019-03-10;8,6;23,5;
2019-03-11;6,8;22,9;
2019-03-12;4,2;24,1;
2019-03-13;0;24,1;
2019-03-14;0;23,9;
2019-03-15;1;22,3;
2019-03-16;5,4;23;
2019-03-17;39;23,2;
2019-03-18;,4;24,7;
2019-03-19;21,6;24,2;
2019-03-20;3,2;24,3;
2019-03-21;45;21,1;
2019-03-22;5,8;19,3;
2019-03-23;5,6;19;
2019-03-24;,4;20,7;
2019-03-25;2;20,5;
2019-03-26;,2;21,3;
2019-03-27;0;20;
2019-03-28;1,4;19,7;
2019-03-29;,8;19,5;
2019-03-30;,8;19,4;
2019-03-31;,4;20,9;
2019-04-01;0;21,3;
2019-04-02;6,6;20,9;
2019-04-03;0;21,1;
2019-04-04;0;22,3;
2019-04-05;0;23,1;
2019-04-06;0;23,1;
2019-04-07;0;23;
2019-04-08;,2;22,7;
2019-04-09;0;21,6;
2019-04-10;22,8;20,8;
2019-04-11;7,4;21,2;
2019-04-12;,2;21,8;
2019-04-13;0;22,4;
2019-04-14;0;22,7;
2019-04-15;,8;21,4;
2019-04-16;29,2;21,2;
2019-04-17;16;21,5;
2019-04-18;0;22,1;
2019-04-19;,2;23;
2019-04-20;0;22,6;
2019-04-21;,2;22;
2019-04-22;0;21,5;
2019-04-23;0;22,5;
2019-04-24;0;21,5;
2019-04-25;2,4;21,6;
2019-04-26;,2;21,2;
2019-04-27;0;21,6;
2019-04-28;,2;21,8;
2019-04-29;,6;20,9;
2019-04-30;13,8;20,9;
2019-05-01;,4;21;
2019-05-02;,2;21,1;
2019-05-03;0;22,1;
2019-05-04;,6;21,6;
2019-05-05;2,6;21,1;
2019-05-06;0;20,4;
2019-05-07;0;21,3;
2019-05-08;12,6;19,4;
2019-05-09;,4;18,4;
2019-05-10;,4;19,2;
2019-05-11;0;19,5;
2019-05-12;0;19,9;
2019-05-13;,2;20,4;
2019-05-14;0;22,1;
2019-05-15;0;20,7;
2019-05-16;3,6;18,4;
2019-05-17;4,2;18,1;
2019-05-18;5,4;18,5;
2019-05-19;8,6;19,3;
2019-05-20;1,4;20,1;
2019-05-21;0;19,5;
2019-05-22;,2;19,7;
2019-05-23;0;19,7;
2019-05-24;,2;19,9;
2019-05-25;,2;21,2;
2019-05-26;,2;19,4;
2019-05-27;,2;20,2;
2019-05-28;0;19,5;
2019-05-29;,2;20,3;
2019-05-30;,2;21;
2019-05-31;,4;20,5;
2019-06-01;0;20,1;
2019-06-02;0;21,8;
2019-06-03;0;20,7;
2019-06-04;2,6;18,4;
2019-06-05;,2;14,4;
2019-06-06;,2;15;
2019-06-07;,2;14,6;
2019-06-08;,2;15,7;
2019-06-09;0;16,8;
2019-06-10;0;16,7;
2019-06-11;,2;19,3;
2019-06-12;0;19,3;
2019-06-13;0;19,4;
2019-06-14;0;19,7;
2019-06-15;,2;18;
2019-06-16;0;17,6;
2019-06-17;0;17;
2019-06-18;0;17,2;
2019-06-19;0;18,2;
2019-06-20;0;16,2;
2019-06-21;1;15,6;
2019-06-22;4,4;16,4;
2019-06-23;,4;18,2;
2019-06-24;0;18,3;
2019-06-25;0;17,7;
2019-06-26;,4;17,9;
2019-06-27;0;19,2;
2019-06-28;,2;17,8;
2019-06-29;0;16,9;
2019-06-30;,2;18,7;
2019-07-01;0;19,8;
2019-07-02;,2;17,9;
2019-07-03;,2;18,3;
2019-07-04;,2;19;
2019-07-05;0;19,8;
2019-07-06;,4;16,4;
2019-07-07;0;14;
2019-07-08;,2;11,6;
2019-07-09;0;12,2;
2019-07-10;0;13,4;
2019-07-11;,2;13,9;
2019-07-12;,2;14,8;
2019-07-13;,2;15,9;
2019-07-14;0;17;
2019-07-15;,2;17,6;
2019-07-16;0;18,5;
2019-07-17;,2;15;
2019-07-18;0;12,6;
2019-07-19;2,4;13,3;
2019-07-20;1;13,3;
2019-07-21;,2;16,2;
2019-07-22;,4;16,8;
2019-07-23;0;15,4;
2019-07-24;,4;16,7;
2019-07-25;,2;17,7;
2019-07-26;,2;16,4;
2019-07-27;0;16;
2019-07-28;,2;15,6;
2019-07-29;0;15,2;
2019-07-30;,8;16;
2019-07-31;,2;17,5;
2019-08-01;0;17,4;
2019-08-02;,2;18,3;
2019-08-03;0;17,4;
2019-08-04;1,2;15,6;
2019-08-05;,8;14,2;
2019-08-06;2;15,4;
2019-08-07;1,2;17,8;
2019-08-08;0;18,7;
2019-08-09;0;18,5;
2019-08-10;0;19;
2019-08-11;,2;18,9;
2019-08-12;null;null;
2019-08-13;,2;18,4;
2019-08-14;1;16,5;
2019-08-15;2,2;14,2;
2019-08-16;,2;14,2;
2019-08-17;,2;13,9;
2019-08-18;,2;16,4;
2019-08-19;0;19,1;
2019-08-20;0;19,6;
2019-08-21;3,4;16,1;
2019-08-22;1,6;16;
2019-08-23;,4;16,5;
2019-08-24;3;17,6;
2019-08-25;4;16,9;
2019-08-26;,8;16,2;
2019-08-27;0;17,8;
2019-08-28;,4;16,1;
2019-08-29;0;14,8;
2019-08-30;,2;16,3;
2019-08-31;0;17,8;
2019-09-01;,2;19,8;
2019-09-02;0;19,7;
2019-09-03;0;20,9;
2019-09-04;0;20,5;
2019-09-05;1,8;18,7;
